call_to_arrival,assign_to_arrival,demand_met
12.600861736663887,10.186101693249324,1.0
12.874690220367624,10.357080812871073,1.0
12.624649337006101,10.364267902266953,1.0
12.974500087755983,10.260006339489625,1.0
13.078538112887548,10.322676252558788,1.0
13.022142181647002,10.323934931204171,1.0
12.874197124411427,10.357264975485412,1.0
12.96470984310115,10.34760509581636,1.0
13.27400012126861,10.498308803338467,1.0
13.097550522070907,10.516084635230444,1.0
13.32197916452453,10.562528507308992,1.0
13.608723832180072,10.493132418368043,1.0
13.000588786813294,10.580955585322407,1.0
13.240029131365358,10.554501089942395,1.0
12.63577388719815,10.221854051687814,1.0
12.84662984286154,10.342363614983077,1.0
13.621751354930101,10.618990597322307,1.0
12.857622470885863,10.372423116518572,1.0
12.72500573427653,10.365428289192067,1.0
12.773074569255229,10.395732542856694,1.0
13.157503598205748,10.471045904446957,1.0
12.587576187767478,10.426498260450058,1.0
12.412027254514564,10.122196633072988,1.0
12.7686596702427,10.354939078981976,1.0
13.063724622301812,10.444004880612336,1.0
12.475910501287801,10.261088113037706,1.0
12.696625691741211,10.43283426733712,1.0
12.828107161992254,10.158535338342634,1.0
12.834126776947777,10.405054302273772,1.0
13.785690927551414,10.595224801209625,1.0
